Format,Metric,Year,Value (Actual)
Cassette,Units,2007,0.4
Download Music Video,Units,2008,20.8
Download Album,Value (Adjusted),2008,754.37356702
Download Single,Value,2008,1032.2
Music Video (Physical),Value,2008,227.3
Download Album,Value,2008,635.3
Cassette,Units,2008,0.1
Vinyl Single,Value,2008,2.9
SACD,Value (Adjusted),2008,3.681029526
Ringtones & Ringbacks,Units,2008,405.1
Ringtones & Ringbacks,Value,2008,977.1
SACD,Value,2008,3.1
Paid Subscription,Value (Adjusted),2008,262.896753877
Cassette Single,Units,2008,0.0
LP/EP,Units,2008,2.9
DVD Audio,Value,2008,1.2
Vinyl Single,Units,2008,0.4
SoundExchange Distributions,Value (Adjusted),2008,118.74288793
CD,Value (Adjusted),2008,6496.779627
Download Album,Units,2008,63.6
DVD Audio,Value (Adjusted),2008,1.424914655
Kiosk,Units,2008,1.6
Music Video (Physical),Value (Adjusted),2008,269.902584265
Cassette,Value (Adjusted),2008,1.068685991
SACD,Units,2008,0.1
CD Single,Value,2008,3.5
Cassette,Value,2008,0.9
CD,Value,2008,5471.3
DVD Audio,Units,2008,0.04
LP/EP,Value,2008,56.7
Download Single,Value (Adjusted),2008,1225.664089
Vinyl Single,Value (Adjusted),2008,3.44354375
Ringtones & Ringbacks,Value (Adjusted),2008,1160.236758
Download Music Video,Value,2008,41.3
CD Single,Units,2008,0.7
CD,Units,2008,368.4
Music Video (Physical),Units,2008,13.2
LP/EP,Value (Adjusted),2008,67.327217456
SoundExchange Distributions,Value,2008,100.0
Download Single,Units,2008,1042.7
Paid Subscriptions,Units,2008,1.6
Kiosk,Value (Adjusted),2008,3.087315086
8 - Track,Units,2008,0.0
CD Single,Value (Adjusted),2008,4.156001078
Other Tapes,Units,2008,0.0
Download Music Video,Value (Adjusted),2008,49.040812715
Kiosk,Value,2008,2.6
Paid Subscriptions,Units,2008,1.6
Paid Subscription,Value,2008,221.4
Paid Subscription,Value (Adjusted),2009,245.722059132
CD,Value (Adjusted),2009,5146.57822
Download Album,Units,2009,74.5
Ringtones & Ringbacks,Units,2009,294.3
Vinyl Single,Units,2009,0.3
SoundExchange Distributions,Value (Adjusted),2009,185.304462633
DVD Audio,Value (Adjusted),2009,1.906669712
Kiosk,Units,2009,1.7
Download Music Video,Value (Adjusted),2009,48.739244513
DVD Audio,Value,2009,1.6
Synchronization,Value (Adjusted),2009,239.763716282
LP/EP,Units,2009,3.5
Synchronization,Value,2009,201.2
Cassette,Units,2009,0.0
Download Album,Value (Adjusted),2009,886.958916644
Download Music Video,Units,2009,20.5
Music Video (Physical),Value,2009,209.6
Download Single,Value,2009,1172.0
SACD,Value,2009,2.4
Ringtones & Ringbacks,Value,2009,702.8
Vinyl Single,Value,2009,2.5
SACD,Value (Adjusted),2009,2.860004568
Music Video (Physical),Value (Adjusted),2009,249.77373227
Download Album,Value,2009,744.3
Cassette Single,Units,2009,0.0
CD Single,Value,2009,3.1
CD Single,Value (Adjusted),2009,3.694172567
LP/EP,Value (Adjusted),2009,76.028454765
SoundExchange Distributions,Value,2009,155.5
Music Video (Physical),Units,2009,11.6
Kiosk,Value (Adjusted),2009,7.507511991
Paid Subscriptions,Units,2009,1.2
Kiosk,Value,2009,6.3
Paid Subscription,Value,2009,206.2
8 - Track,Units,2009,0.0
Other Tapes,Units,2009,0.0
Download Single,Units,2009,1124.4
DVD Audio,Units,2009,0.1
Download Single,Value (Adjusted),2009,1396.635564
LP/EP,Value,2009,63.8
CD,Value,2009,4318.8
Cassette,Value,2009,0.0
Paid Subscriptions,Units,2009,1.2
CD,Units,2009,296.6
SACD,Units,2009,0.1
Ringtones & Ringbacks,Value (Adjusted),2009,837.504670989
Vinyl Single,Value (Adjusted),2009,2.979171425
CD Single,Units,2009,0.9
Download Music Video,Value,2009,40.9
Download Music Video,Value,2010,36.6
Cassette,Units,2010,0.0
Ringtones & Ringbacks,Value (Adjusted),2010,525.251935283
CD Single,Units,2010,1.0
SACD,Units,2010,0.1
CD,Units,2010,253.0
Vinyl Single,Value (Adjusted),2010,2.696605918
CD Single,Value,2010,2.9
CD Single,Value (Adjusted),2010,3.400068331
LP/EP,Value,2010,88.9
CD,Value,2010,3389.4
DVD Audio,Units,2010,0.04
Paid Subscriptions,Units,2010,1.5
8 - Track,Units,2010,0.0
Paid Subscriptions,Units,2010,1.5
Kiosk,Value,2010,6.4
Paid Subscription,Value,2010,212.4
SoundExchange Distributions,Value,2010,249.2
Other Tapes,Units,2010,0.0
LP/EP,Value (Adjusted),2010,104.229680908
Download Single,Value (Adjusted),2010,1566.845282
Download Single,Units,2010,1177.4
Kiosk,Value (Adjusted),2010,7.503599075
Music Video (Physical),Units,2010,9.1
Music Video (Physical),Value (Adjusted),2010,208.224874344
SACD,Value (Adjusted),2010,1.993143504
Vinyl Single,Value,2010,2.3
SACD,Value,2010,1.7
Download Music Video,Units,2010,18.4
Cassette Single,Units,2010,0.0
Synchronization,Value,2010,188.7
Download Single,Value,2010,1336.4
Music Video (Physical),Value,2010,177.6
Download Album,Value (Adjusted),2010,1022.834349
Download Album,Value,2010,872.4
Ringtones & Ringbacks,Value,2010,448.0
Download Music Video,Value (Adjusted),2010,42.911207213
Download Album,Units,2010,85.8
SoundExchange Distributions,Value (Adjusted),2010,292.171389001
Vinyl Single,Units,2010,0.3
DVD Audio,Value,2010,0.9
Synchronization,Value (Adjusted),2010,221.238928991
LP/EP,Units,2010,4.2
DVD Audio,Value (Adjusted),2010,1.05519362
Kiosk,Units,2010,1.7
Ringtones & Ringbacks,Units,2010,188.5
CD,Value (Adjusted),2010,3973.859173
Paid Subscription,Value (Adjusted),2010,249.025694317
Download Album,Value (Adjusted),2011,1217.03002
DVD Audio,Value,2011,0.3
LP/EP,Units,2011,5.5
Paid Subscription,Value (Adjusted),2011,281.639931715
Ringtones & Ringbacks,Units,2011,115.4
Vinyl Single,Units,2011,0.4
CD,Value (Adjusted),2011,3524.136143
SoundExchange Distributions,Value (Adjusted),2011,331.875948591
Kiosk,Units,2011,1.3
Download Album,Units,2011,103.9
SACD,Value (Adjusted),2011,1.704842202
Download Music Video,Units,2011,16.3
CD Single,Units,2011,1.3
Ringtones & Ringbacks,Value,2011,276.2
On-Demand Streaming (Ad-Supported),Value (Adjusted),2011,129.340695033
Download Single,Value,2011,1522.4
Cassette Single,Units,2011,0.0
Synchronization,Value,2011,196.5
Vinyl Single,Value,2011,4.6
Music Video (Physical),Value (Adjusted),2011,171.620781634
SACD,Value,2011,1.5
DVD Audio,Value (Adjusted),2011,0.3409684399999999
Download Album,Value,2011,1070.8
Download Music Video,Value (Adjusted),2011,36.824591556
Music Video (Physical),Value,2011,151.0
CD Single,Value (Adjusted),2011,3.977965137
SoundExchange Distributions,Value,2011,292.0
Other Tapes,Units,2011,0.0
Download Single,Units,2011,1332.3
Kiosk,Value,2011,2.7
On-Demand Streaming (Ad-Supported),Value,2011,113.8
Synchronization,Value (Adjusted),2011,223.334328418
Paid Subscription,Value,2011,247.8
Paid Subscriptions,Units,2011,1.8
LP/EP,Value (Adjusted),2011,135.705439252
8 - Track,Units,2011,0.0
Music Video (Physical),Units,2011,7.7
DVD Audio,Units,2011,0.01
CD Single,Value,2011,3.5
LP/EP,Value,2011,119.4
Kiosk,Value (Adjusted),2011,3.068715963
Paid Subscriptions,Units,2011,1.8
SACD,Units,2011,0.1
Vinyl Single,Value (Adjusted),2011,5.228182752
CD,Value,2011,3100.7
CD,Units,2011,240.8
Cassette,Units,2011,0.0
Ringtones & Ringbacks,Value (Adjusted),2011,313.9182774
Download Music Video,Value,2011,32.4
Download Single,Value (Adjusted),2011,1730.301179
Download Album,Value,2012,1204.822243
Download Single,Value,2012,1644.570645
Synchronization,Value,2012,190.597753
Music Video (Physical),Value,2012,116.613654602
On-Demand Streaming (Ad-Supported),Value (Adjusted),2012,190.339615647
CD Single,Units,2012,1.072870407
SACD,Value (Adjusted),2012,1.494897613
Vinyl Single,Value,2012,4.743055893
DVD Audio,Value (Adjusted),2012,0.2038928899999999
Music Video (Physical),Value (Adjusted),2012,129.85137719
SACD,Value,2012,1.3425
Download Music Video,Units,2012,10.473489
Download Album,Value (Adjusted),2012,1341.590983
Ringtones & Ringbacks,Value,2012,145.992935111
Download Music Video,Value (Adjusted),2012,23.208206935
Synchronization,Value (Adjusted),2012,212.233985813
Ringtones & Ringbacks,Units,2012,58.757403556
Paid Subscription,Value (Adjusted),2012,445.276306223
DVD Audio,Value,2012,0.183106992
Download Album,Units,2012,116.733631841
SoundExchange Distributions,Value (Adjusted),2012,514.445211983
LP/EP,Units,2012,6.915365189
Kiosk,Units,2012,1.95507
Vinyl Single,Units,2012,0.388573687
Paid Subscriptions,Units,2012,3.4
Download Single,Units,2012,1402.739373
Kiosk,Value (Adjusted),2012,4.068866328
CD Single,Value,2012,3.225092945
DVD Audio,Units,2012,0.008533145
CD,Units,2012,198.164387234
Download Music Video,Value,2012,20.842242
CD,Value,2012,2485.614699
Download Single,Value (Adjusted),2012,1831.258646
SACD,Units,2012,0.065446
Vinyl Single,Value (Adjusted),2012,5.281477044
LP/EP,Value,2012,160.723058291
Ringtones & Ringbacks,Value (Adjusted),2012,162.565728249
SoundExchange Distributions,Value,2012,462.0
CD Single,Value (Adjusted),2012,3.59119832
Kiosk,Value,2012,3.654065
On-Demand Streaming (Ad-Supported),Value,2012,170.935408437
LP/EP,Value (Adjusted),2012,178.967982236
Paid Subscription,Value,2012,399.88253109
CD,Value (Adjusted),2012,2767.776149
Paid Subscriptions,Units,2012,3.36
Music Video (Physical),Units,2012,6.032725467
CD,Value (Adjusted),2013,2349.534897
Paid Subscriptions,Units,2013,6.16
LP/EP,Value (Adjusted),2013,231.274070194
Music Video (Physical),Units,2013,4.814626524
Download Single,Units,2013,1332.795366
On-Demand Streaming (Ad-Supported),Value,2013,220.873544491
Paid Subscriptions,Units,2013,6.2
Ringtones & Ringbacks,Value (Adjusted),2013,107.548976379
Kiosk,Value,2013,6.183604
SoundExchange Distributions,Value,2013,590.4
CD Single,Value (Adjusted),2013,2.684056894
Download Single,Value (Adjusted),2013,1726.739156
SACD,Units,2013,0.044683
Vinyl Single,Value (Adjusted),2013,3.269213385
Download Music Video,Value,2013,16.740803
Synchronization,Value,2013,189.679434
CD,Units,2013,173.793302906
CD,Value,2013,2140.917718
DVD Audio,Units,2013,-0.054735168
CD Single,Value,2013,2.445737226
LP/EP,Value,2013,210.739051034
Kiosk,Value (Adjusted),2013,6.786152156
Kiosk,Units,2013,3.7442
Download Album,Value (Adjusted),2013,1352.202953
Music Video (Physical),Value,2013,106.283137789
DVD Audio,Value,2013,-0.495804191
LP/EP,Units,2013,9.351285870000002
Download Album,Units,2013,117.979213042
SoundExchange Distributions,Value (Adjusted),2013,647.930273827
Paid Subscription,Value,2013,643.324288756
Paid Subscription,Value (Adjusted),2013,706.011657475
Synchronization,Value (Adjusted),2013,208.162343515
Ringtones & Ringbacks,Units,2013,39.366235778
Download Music Video,Value (Adjusted),2013,18.372074986
Vinyl Single,Units,2013,0.3158170539999999
Music Video (Physical),Value (Adjusted),2013,116.639672376
SACD,Value (Adjusted),2013,1.073719014
Vinyl Single,Value,2013,2.978937179
Download Album,Value,2013,1232.139716
SACD,Value,2013,0.9783826
DVD Audio,Value (Adjusted),2013,-0.544116778
CD Single,Units,2013,0.628895398
Download Single,Value,2013,1573.420534
Download Music Video,Units,2013,8.412464
On-Demand Streaming (Ad-Supported),Value (Adjusted),2013,242.396097837
Ringtones & Ringbacks,Value,2013,97.999612333
Vinyl Single,Value (Adjusted),2014,5.938887283
Music Video (Physical),Value (Adjusted),2014,96.875251056
On-Demand Streaming (Ad-Supported),Value (Adjusted),2014,306.475448007
LP/EP,Value (Adjusted),2014,263.336179145
Kiosk,Value (Adjusted),2014,2.789051821
Download Single,Value (Adjusted),2014,1463.655387
CD Single,Value (Adjusted),2014,3.905023683
Download Album,Value (Adjusted),2014,1207.247578
DVD Audio,Value (Adjusted),2014,2.310456232
Download Music Video,Value (Adjusted),2014,14.662197203
CD,Value (Adjusted),2014,1918.215115
Paid Subscription,Value,2014,770.270559124
Music Video (Physical),Value,2014,89.705579875
On-Demand Streaming (Ad-Supported),Value,2014,283.793409371
SoundExchange Distributions,Value (Adjusted),2014,835.213587287
SoundExchange Distributions,Value,2014,773.4
Ringtones & Ringbacks,Value,2014,66.311370667
SACD,Value,2014,0.76344539
Vinyl Single,Value,2014,5.49935429
Synchronization,Value,2014,189.713099
CD Single,Units,2014,0.928725116
Download Music Video,Units,2014,6.82264392
Kiosk,Units,2014,1.592073358
Ringtones & Ringbacks,Value (Adjusted),2014,71.61127201
Download Album,Units,2014,114.230470801
DVD Audio,Units,2014,0.066542722
Music Video (Physical),Units,2014,4.065323601
SACD,Units,2014,0.030486
Download Single,Units,2014,1154.379327
CD,Units,2014,138.702363357
SACD,Value (Adjusted),2014,0.8244633599999999
Vinyl Single,Units,2014,0.4811982779999999
LP/EP,Units,2014,10.315563906
CD,Value,2014,1776.249324
CD Single,Value,2014,3.616015547
Synchronization,Value (Adjusted),2014,204.875818427
Ringtones & Ringbacks,Units,2014,26.632323683
Paid Subscriptions,Units,2014,7.73
Paid Subscriptions,Units,2014,7.7
Download Album,Value,2014,1117.900009
DVD Audio,Value,2014,2.139460944
Paid Subscription,Value (Adjusted),2014,831.8340274989998
Download Single,Value,2014,1355.331251
Download Music Video,Value,2014,13.577058
Kiosk,Value,2014,2.582636
LP/EP,Value,2014,243.84684834
Kiosk,Value,2015,3.700455
Download Single,Value,2015,1185.237595
Download Album,Value,2015,1064.433607
Download Music Video,Value,2015,6.414419
Paid Subscription,Value (Adjusted),2015,1247.676869
DVD Audio,Value,2015,5.416232673
Paid Subscriptions,Units,2015,10.84
Synchronization,Value (Adjusted),2015,218.894529344
Download Music Video,Units,2015,3.223325002
Ringtones & Ringbacks,Units,2015,21.924866054
CD,Value,2015,1444.993194
Paid Subscriptions,Units,2015,10.8
CD Single,Value,2015,1.19694661
SACD,Units,2015,0.041633
LP/EP,Units,2015,13.68102972
Vinyl Single,Units,2015,0.50786991
CD Single,Units,2015,0.3867215629999999
SACD,Value (Adjusted),2015,1.125529098
Ringtones & Ringbacks,Value (Adjusted),2015,58.874581007
DVD Audio,Units,2015,0.179506738
Music Video (Physical),Units,2015,3.133228006
Download Album,Units,2015,106.783884116
Download Single,Units,2015,986.2550359
Kiosk,Units,2015,2.202659889
Music Video (Physical),Value (Adjusted),2015,75.973614493
Vinyl Single,Value,2015,5.752954082
SoundExchange Distributions,Value (Adjusted),2015,865.719793095
Synchronization,Value,2015,202.934888
Ringtones & Ringbacks,Value,2015,54.582024222
Paid Subscription,Value,2015,1156.708514
SACD,Value,2015,1.04346656
SoundExchange Distributions,Value,2015,802.6
On-Demand Streaming (Ad-Supported),Value,2015,371.990396399
Music Video (Physical),Value,2015,70.434363958
LP/EP,Value,2015,333.379793112
Download Music Video,Value (Adjusted),2015,6.918875516
Download Album,Value (Adjusted),2015,1148.145081
DVD Audio,Value (Adjusted),2015,5.842187676
CD,Value (Adjusted),2015,1558.633452
CD Single,Value (Adjusted),2015,1.291079457
LP/EP,Value (Adjusted),2015,359.598162864
Download Single,Value (Adjusted),2015,1278.449595
Kiosk,Value (Adjusted),2015,3.99147413
On-Demand Streaming (Ad-Supported),Value (Adjusted),2015,401.245264147
Vinyl Single,Value (Adjusted),2015,6.205390253
CD,Units,2015,117.144051764
Vinyl Single,Value (Adjusted),2016,5.198931395
SACD,Value (Adjusted),2016,1.28555661
CD Single,Units,2016,0.121745255
Vinyl Single,Units,2016,0.4043306509999999
LP/EP,Units,2016,14.770886026
Download Single,Units,2016,743.003413783
Ringtones & Ringbacks,Value (Adjusted),2016,59.998070883
Kiosk,Units,2016,1.74878121
Download Album,Units,2016,85.12334989299998
DVD Audio,Units,2016,0.0858989319999999
SACD,Units,2016,0.045272
Music Video (Physical),Units,2016,2.495531725
Paid Subscription,Value (Adjusted),2016,2390.487545
DVD Audio,Value,2016,2.83553587
Download Single,Value,2016,900.1814810659998
Kiosk,Value,2016,2.943916801
Download Music Video,Value,2016,4.26940012
Download Album,Value,2016,868.59426835
Paid Subscriptions,Units,2016,22.7
CD,Value,2016,1130.764651
CD Single,Value,2016,0.2631990819999999
Synchronization,Value (Adjusted),2016,228.847859543
Paid Subscriptions,Units,2016,22.68
Ringtones & Ringbacks,Units,2016,22.620785392
Download Music Video,Units,2016,2.145427196
CD,Units,2016,97.577071197
CD,Value (Adjusted),2016,1204.497778
Other Digital,Value (Adjusted),2016,18.259409536
Download Album,Value (Adjusted),2016,925.232200992
Download Music Video,Value (Adjusted),2016,4.547792467
DVD Audio,Value (Adjusted),2016,3.020431045
CD Single,Value (Adjusted),2016,0.280361354
Kiosk,Value (Adjusted),2016,3.13587911
LP/EP,Value (Adjusted),2016,378.607270991
On-Demand Streaming (Ad-Supported),Value (Adjusted),2016,521.288175026
Music Video (Physical),Value (Adjusted),2016,60.634642175
Other Ad-Supported Streaming,Value (Adjusted),2016,86.55959668299998
Limited Tier Paid Subscription,Value (Adjusted),2016,280.536691286
Download Single,Value (Adjusted),2016,958.87910313
Paid Subscription,Value,2016,2244.154254
Ringtones & Ringbacks,Value,2016,56.325299125
SoundExchange Distributions,Value,2016,883.9
SACD,Value,2016,1.20686148
Vinyl Single,Value,2016,4.880679689
Synchronization,Value,2016,214.83897654
SoundExchange Distributions,Value (Adjusted),2016,941.535964784
Other Ad-Supported Streaming,Value,2016,81.26086561699998
Other Digital,Value,2016,17.141662871
Music Video (Physical),Value,2016,56.922902813
On-Demand Streaming (Ad-Supported),Value,2016,489.377607589
Limited Tier Paid Subscription,Value,2016,263.363685193
LP/EP,Value,2016,355.430890954
LP/EP,Value,2017,388.511108168
Limited Tier Paid Subscription,Value,2017,591.601097499
On-Demand Streaming (Ad-Supported),Value,2017,658.6064926
Music Video (Physical),Value,2017,38.619446998
Other Digital,Value,2017,16.885109868
Other Ad-Supported Streaming,Value,2017,261.786858952
SoundExchange Distributions,Value (Adjusted),2017,680.027594648
Synchronization,Value,2017,232.086522899
Vinyl Single,Value,2017,6.07838535
SACD,Value,2017,0.8505785599999999
SoundExchange Distributions,Value,2017,652.0
Ringtones & Ringbacks,Value,2017,35.513735653
Paid Subscription,Value,2017,3500.549813
Download Single,Value (Adjusted),2017,707.692711218
Other Ad-Supported Streaming,Value (Adjusted),2017,273.040319024
LP/EP,Value (Adjusted),2017,405.212077272
Kiosk,Value (Adjusted),2017,2.351668038
SACD,Value (Adjusted),2017,0.887142473
On-Demand Streaming (Ad-Supported),Value (Adjusted),2017,686.918081261
Music Video (Physical),Value (Adjusted),2017,40.279585351
Limited Tier Paid Subscription,Value (Adjusted),2017,617.032317981
DVD Audio,Value (Adjusted),2017,2.718901189
Download Music Video,Value (Adjusted),2017,2.905533136
Download Album,Value (Adjusted),2017,697.237618181
CD Single,Value (Adjusted),2017,1.542258972
Other Digital,Value (Adjusted),2017,17.610951916
CD,Value (Adjusted),2017,1102.774352
Vinyl Single,Value (Adjusted),2017,6.33967756
Ringtones & Ringbacks,Units,2017,14.262869941
Paid Subscriptions,Units,2017,35.273501216
Synchronization,Value (Adjusted),2017,242.063251407
CD Single,Value,2017,1.478694184
CD,Value,2017,1057.32309
Paid Subscriptions,Units,2017,35.3
Download Album,Value,2017,668.500705901
Download Music Video,Value,2017,2.785780489
Kiosk,Value,2017,2.25474315
Download Single,Value,2017,678.524888322
DVD Audio,Value,2017,2.606840648
Paid Subscription,Value (Adjusted),2017,3651.028327
Download Music Video,Units,2017,1.399889693
Music Video (Physical),Units,2017,1.87712837
SACD,Units,2017,0.032749
DVD Audio,Units,2017,0.061332251
Download Album,Units,2017,66.386103763
Kiosk,Units,2017,1.322377717
Ringtones & Ringbacks,Value (Adjusted),2017,37.040368455
Download Single,Units,2017,553.516151775
LP/EP,Units,2017,15.556089168
Vinyl Single,Units,2017,0.402959365
CD Single,Units,2017,0.13261663
CD,Units,2017,87.682499971
Vinyl Single,Value (Adjusted),2018,5.386196747
Ringtones & Ringbacks,Value (Adjusted),2018,25.41009037
Paid Subscription,Value (Adjusted),2018,4740.333581
SACD,Value (Adjusted),2018,0.8752772669999999
On-Demand Streaming (Ad-Supported),Value (Adjusted),2018,773.2949166879998
Other Ad-Supported Streaming,Value (Adjusted),2018,255.967443871
Other Digital,Value (Adjusted),2018,20.199063312
Download Single,Value (Adjusted),2018,499.316974193
Download Music Video,Value (Adjusted),2018,2.261051168
DVD Audio,Value (Adjusted),2018,3.377493968
Download Album,Value (Adjusted),2018,508.704388424
LP/EP,Value (Adjusted),2018,426.820186646
Kiosk,Value (Adjusted),2018,2.000651969
Limited Tier Paid Subscription,Value (Adjusted),2018,760.591366006
Music Video (Physical),Value (Adjusted),2018,28.060663877
SACD,Value,2018,0.85969971
Ringtones & Ringbacks,Value,2018,24.957859799
Paid Subscription,Value,2018,4655.968522
SoundExchange Distributions,Value (Adjusted),2018,970.064512738
On-Demand Streaming (Ad-Supported),Value,2018,759.532368153
Other Ad-Supported Streaming,Value,2018,251.411918813
Other Digital,Value,2018,19.839574865
Vinyl Single,Value,2018,5.290337079
SoundExchange Distributions,Value,2018,952.8
Synchronization,Value,2018,285.51349134
CD Single,Value (Adjusted),2018,0.157981482
CD,Value (Adjusted),2018,711.041239463
Ringtones & Ringbacks,Units,2018,10.026286725
Download Music Video,Units,2018,1.115985226
Download Album,Units,2018,49.734924535
Kiosk,Units,2018,1.097856529
DVD Audio,Units,2018,0.092803246
Music Video (Physical),Units,2018,1.395058021
SACD,Units,2018,0.032804
Download Single,Units,2018,399.773852346
CD,Units,2018,51.954275644
CD Single,Units,2018,0.020854078
Vinyl Single,Units,2018,0.346165002
LP/EP,Units,2018,16.670127326
CD Single,Value,2018,0.15516984
Paid Subscriptions,Units,2018,46.91132324
Synchronization,Value (Adjusted),2018,290.686928901
Paid Subscriptions,Units,2018,50.2
CD,Value,2018,698.386637244
Download Single,Value,2018,490.430488658
Download Music Video,Value,2018,2.2208106
DVD Audio,Value,2018,3.317383752
Download Album,Value,2018,499.65083242
LP/EP,Value,2018,419.223946961
Kiosk,Value,2018,1.965045799
Limited Tier Paid Subscription,Value,2018,747.054906158
Music Video (Physical),Value,2018,27.561260298
On-Demand Streaming (Ad-Supported),Value,2019,908.149330523
SoundExchange Distributions,Value (Adjusted),2019,908.2
Other Digital,Value,2019,21.517175006
Other Ad-Supported Streaming,Value,2019,251.064710118
Ringtones & Ringbacks,Value,2019,21.426736902
SACD,Value,2019,0.4333022919999999
Paid Subscription,Value,2019,5934.397625
CD,Value (Adjusted),2019,614.509779894
CD Single,Value (Adjusted),2019,0.1816788779999999
Vinyl Single,Value,2019,6.795945687
Synchronization,Value,2019,276.262360199
SoundExchange Distributions,Value,2019,908.2
On-Demand Streaming (Ad-Supported),Value (Adjusted),2019,908.149330523
SACD,Value (Adjusted),2019,0.4333022919999999
Other Digital,Value (Adjusted),2019,21.517175006
Other Ad-Supported Streaming,Value (Adjusted),2019,251.064710118
Ringtones & Ringbacks,Value (Adjusted),2019,21.426736902
Vinyl Single,Value (Adjusted),2019,6.795945687
Paid Subscription,Value (Adjusted),2019,5934.397625
Kiosk,Value (Adjusted),2019,1.586470587
LP/EP,Value (Adjusted),2019,497.588920842
Music Video (Physical),Value (Adjusted),2019,27.705246783
Limited Tier Paid Subscription,Value (Adjusted),2019,829.498739675
Download Music Video,Value (Adjusted),2019,1.858910402
Download Single,Value (Adjusted),2019,414.804250982
Download Album,Value (Adjusted),2019,394.533006158
DVD Audio,Value (Adjusted),2019,1.067303184
Ringtones & Ringbacks,Units,2019,8.605769715999998
Paid Subscriptions,Units,2019,60.381947607
CD,Value,2019,614.509779894
CD Single,Value,2019,0.1816788779999999
Kiosk,Value,2019,1.586470587
LP/EP,Value,2019,497.588920842
Music Video (Physical),Value,2019,27.705246783
Limited Tier Paid Subscription,Value,2019,829.498739675
Download Music Video,Value,2019,1.858910402
Download Single,Value,2019,414.804250982
Download Album,Value,2019,394.533006158
DVD Audio,Value,2019,1.067303184
Music Video (Physical),Units,2019,1.32294236
Synchronization,Value (Adjusted),2019,276.262360199
SACD,Units,2019,0.017654
DVD Audio,Units,2019,0.027982262
Kiosk,Units,2019,0.8997038649999999
Download Music Video,Units,2019,0.93412583
Download Album,Units,2019,40.202712338
Download Single,Units,2019,335.339193535
LP/EP,Units,2019,19.103162826
Vinyl Single,Units,2019,0.336120488
CD Single,Units,2019,0.026257455
CD,Units,2019,46.506495584
